tractID,rent2000,value2000,income2000,rent2012,value2012,income2012,Gross Rent,Home Value,Household Income,rentError2012,valueError2012,incomeError2012
48453001781,886.99924,222799.7898,95069.91103,879,336200,93324,-0.009018317,0.508978084,-0.018364496,139,14730,16257
48491020508,1008.682057,177385.7327,85805.23162,976,206700,67027,-0.032400751,0.165257188,-0.218847164,74,18266,13311
48453001714,1070.488046,239238.9214,101443.7767,1034,356900,79223,-0.034085431,0.491814116,-0.219045243,76,14924,16927
48453001912,1612.869009,586217.024,165094.4343,1551,905400,144563,-0.038359599,0.5444792,-0.124361759,237,66236,45618
48453001785,930.1946772,102825.3119,51205.72157,886,180900,54116,-0.047511213,0.759294444,0.056835024,73,34593,7168
48453001856,955.9966134,136298.705,61926.44348,910,168800,75066,-0.048113783,0.238456374,0.21218006,511,6681,15225
48453001757,1195,257500,97177,1134,391900,106042,-0.051046025,0.521941748,0.09122529,126,26563,17685
48453001828,1197,118700,70551,1112,192500,94722,-0.07101086,0.621735468,0.342603223,188,5889,7693
48453001751,1764,255500,76839,1586,413700,106919,-0.100907029,0.619178082,0.391467874,276,31048,6406
48453001824,1076,99500,51654,955,169500,51548,-0.112453532,0.703517588,-0.002052116,33,8133,12171
48453001908,1254.990286,733080.2772,101475.6904,1086,498800,77862,-0.134654656,-0.319583386,-0.232702929,85,72620,9224
48453001716,1377.209645,264029.4529,115197.1218,1181,419200,111950,-0.142468974,0.587701657,-0.028187525,81,27416,27593
48453001740,1534.764845,168484.6316,85073.38945,1308,244000,76906,-0.147752176,0.448203303,-0.096004044,154,6827,9574
48491020317,1321.974851,116804.9649,63210.84042,1032,293500,66042,-0.219349748,1.512735655,0.044789146,89,47504,16411
48453001733,1403,188300,76717,1049,334300,118656,-0.252316465,0.775358471,0.546671533,189,25151,20019
48453001916,2000,315000,129052,-,613500,180987,,0.947619048,0.402434677,**,44079,29205
48453002212,614.7856311,66658.86823,37167.1126,-,125500,56953,,0.882720234,0.532349328,**,15412,38069
48453001917,2000,315000,129052,-,455800,156149,,0.446984127,0.209969625,**,26640,13840
48453001775,1207.997975,179199.6985,92425.84378,188,333900,111250,,0.863284385,0.20366767,2323,28119,16008
48491020311,1316.77303,116875.6038,63194.74587,975,217000,69821,,0.8566749,0.10485451,93,9648,11773
48453001606,,,,-,-,-,,,,**,**,**
48453002319,0.009880006,1.37852792,0.707488566,-,-,-,,,,**,**,**
48453980000,2.147614345,287.3416904,109.9795887,-,-,-,,,,**,**,**
48021950300,,,,,,,,,,193,5984,6070
