2000GEOID,Area2000 (Sq Mi),2012GEOID,Area2012 (Sq Mi),IntersectioNArea (Sq Mi),% of 2000 tract covering 2012 tract
48453001848,1.299689296,48453001847,1.180618786,2.455E-06,2.07942E-06
48453001714,6.788715226,48453001782,1.338419146,2.5822E-06,1.92929E-06
48453001100,1.043001336,48453000901,0.334779029,6.25313E-07,1.86784E-06
48453002002,0.596389619,48453002005,0.632622663,1.03008E-06,1.62827E-06
48491020402,3.187881813,48491020406,1.073815296,1.74264E-06,1.62285E-06
48453000203,0.466185524,48453000302,0.792353556,1.13624E-06,1.43401E-06
48453002206,84.91719526,48453001856,23.81054746,3.05944E-05,1.28491E-06
48453002206,84.91719526,48453002433,27.88429258,3.43343E-05,1.23131E-06
48453002418,13.08436839,48453002407,5.922786161,7.11912E-06,1.20199E-06
48453002411,1.530465623,48453002313,0.939062161,1.10963E-06,1.18163E-06
48453002419,0.52283994,48453002402,1.381367727,1.31885E-06,9.54739E-07
48453001818,0.991805506,48453001817,0.967798733,9.18012E-07,9.48557E-07
48491020503,5.964957072,48491020409,1.897117264,1.75295E-06,9.24008E-07
48453001852,2.651635005,48491020504,3.585884899,3.24791E-06,9.05748E-07
48453000302,0.79235281,48453000203,0.466916789,3.9046E-07,8.36252E-07
48453002113,0.789555975,48453001811,0.557548341,3.41738E-07,6.1293E-07
48453002303,6.981109517,48453002432,17.16953194,1.01946E-05,5.93761E-07
48453001100,1.043001336,48453001000,0.902406796,5.23881E-07,5.80538E-07
48453000401,0.84264307,48453000500,0.444563924,2.55284E-07,5.74235E-07
